collectionOrder,teseraId,teseraAlias,teseraTitle,teseraAlternateTitles,teseraYear,teseraIsAddition,bggId,bggName,bggType,matchMethod,ownedParentBggIds,disposition,notes
20,1177215,vegas-wits-wagers,Vegas Wits & Wagers,,2017,false,,,,unresolved,,needs-review,
21,153463,Wits-and-Wagers,Держи пари,Wits & Wagers,2005,false,20100,Wits & Wagers,base,tesera-detail-bgg-id,,matched,
22,1134233,codenames-marvel,Codenames: Marvel,,2017,false,,,,unresolved,,needs-review,
23,1606416,codenames-harry-potter,Codenames: Harry Potter,,2018,false,,,,unresolved,,needs-review,
24,2284709,7-wonders-architects-medals,7 Wonders: Architects – Medals,7 Чудес: Архитекторы. Медали,2024,true,,,,unresolved,,needs-review,
25,2224751,Whale-To-Look,Whale To Look,クジラオルカ,2023,false,,,,unresolved,,needs-review,
26,1878732,durian,Durian,,2020,false,307963,Durian,base,tesera-detail-bgg-id,,matched,
27,1991688,First-Rat,First Rat,,2022,false,347703,First Rat,base,tesera-detail-bgg-id,,matched,
28,2063929,tiny-epic-vikings,Tiny Epic Vikings,,2023,false,360896,Tiny Epic Vikings,base,tesera-detail-bgg-id,,matched,
29,2252310,medieval-academy-2023,Средневековая академия,Medieval Academy (2023),2023,false,392448,Medieval Academy,base,tesera-detail-bgg-id,,matched,
30,1343821,hero-realms-character-pack-cleric,Hero Realms: Character Pack – Cleric,,2016,true,,,,unresolved,,needs-review,
31,1343853,hero-realms-character-pack-fighter,Hero Realms: Character Pack – Fighter,,2016,false,,,,unresolved,,needs-review,
32,1343862,hero-realms-character-pack-ranger,Hero Realms: Character Pack – Ranger,,2016,false,,,,unresolved,,needs-review,
33,1343872,hero-realms-character-pack-wizard,Hero Realms: Character Pack – Wizard,,2016,false,,,,unresolved,,needs-review,
34,1734186,kubicheskaya-rybalka,Кубическая рыбалка,,2021,false,,,,unresolved,,needs-review,
35,866633,sky-heist,Банда Братьев Райт,Sky Heist,2016,false,205787,Sky Heist,base,tesera-detail-bgg-id,,matched,
36,1447000,its-a-wonderful-world,Этот безумный мир,It's a Wonderful World,2019,false,271324,It's a Wonderful World,base,tesera-detail-bgg-id,,matched,
37,1521361,point-salad,Салат удачи,Point Salad,2019,false,274960,Point Salad,base,tesera-detail-bgg-id,,matched,
38,1076166,andalyr,Сказания Андалира,Базовое Издание,2017,false,,,,unresolved,,needs-review,
39,160815,Love-Letter,Тайное послание,Love Letter,2012,false,129622,Love Letter,base,tesera-detail-bgg-id,,matched,
40,2270595,bolshaya-brodilka-na-puti-k-tronu-zhelany,Большая Бродилка: На Пути к Трону Желаний,,2023,true,,,,unresolved,,needs-review,
41,1555594,fallout-shelter,Fallout Shelter. Настольная игра,Fallout Shelter: The Board Game,2020,false,293889,Fallout Shelter: The Board Game,base,tesera-detail-bgg-id,,matched,
42,4337,for-sale,Продано!,For Sale | З молотка,1997,false,172,For Sale,base,tesera-detail-bgg-id,,matched,
43,2106673,barrage-nile-affair-expansion,Плотина: Нил,Barrage: The Nile Affair Expansion,2022,true,366469,Barrage: The Nile Affair Expansion,expansion,tesera-detail-bgg-id,251247,matched,
44,1736328,taco-cat-goat-cheese-pizza,"Тако, кот, коза, сыр, пицца",taco cat goat cheese pizza,2018,false,253664,Taco Cat Goat Cheese Pizza,base,tesera-detail-bgg-id,,matched,
45,7091,no-thanks,"Нет уж, спасибо!","No Thanks! | No mercy, Geschenkt",2004,false,12942,No Thanks!,base,tesera-detail-bgg-id,,matched,
46,2061209,castles-of-burgundy-special-edition,The Castles of Burgundy: Special Edition,,2023,false,363622,The Castles of Burgundy: Special Edition,base,tesera-detail-bgg-id,,matched,
47,455787,skull-king,Skull King,,2013,false,150145,Skull King,base,tesera-detail-bgg-id,,matched,
48,1770386,hegemony-lead-your-class-to-victory,Гегемония: Классовая борьба,Hegemony: Lead your class to victory,2021,false,321608,Hegemony: Lead Your Class to Victory,base,tesera-detail-bgg-id,,matched,
49,2159021,hegemony-crisis-and-control,Гегемония: Классовая борьба — Кризис и контроль,Hegemony: Crisis and Control,2023,true,374250,Hegemony: Lead Your Class to Victory – Crisis & Control,expansion,tesera-detail-bgg-id,321608,matched,
50,1999844,hegemony-lead-your-class-to-victory-historical-events,Гегемония: Классовая борьба — Исторические события,Hegemony: Lead Your Class to Victory – Historical Events,2022,true,351611,Hegemony: Lead Your Class to Victory – Historical Events,expansion,tesera-detail-bgg-id,321608,matched,
51,1727044,mortum-srednevekovy-detektiv,Мортум. Средневековый детектив,Mortum. Medieval Detective,2021,false,296063,Mortum: Medieval Detective,base,tesera-detail-bgg-id,,matched,
52,2002649,mortum-ubeghishe,Мортум. Убежище,,2021,false,351600,Mortum: Medieval Detective – The Shelter,base,tesera-detail-bgg-id,,matched,
53,1954777,suburbia-2nd,Пригород,Suburbia (Second Edition),2021,false,123260,Suburbia,base,tesera-detail-bgg-id,,matched,
54,2216120,suburbia-expansions-second-edition,Пригород. Дополнения,Suburbia Expansions (second edition),2021,true,332410,Suburbia: Expansions (Second Edition),expansion,tesera-detail-bgg-id,123260,matched,
55,1575166,Scout,Scout!,スカウト！,2019,false,291453,SCOUT,base,tesera-detail-bgg-id,,matched,
56,1997244,terraforming-mars-the-dice-game,Terraforming Mars: The Dice Game,,2022,false,296108,Terraforming Mars: The Dice Game,base,tesera-detail-bgg-id,,matched,
57,1941213,7-wonders-architects,7 Чудес: Архитекторы,7 Wonders: Architects,2021,false,346703,7 Wonders: Architects,base,tesera-detail-bgg-id,,matched,
58,2300991,omerta,Омерта,Omerta,2019,false,270445,Omerta,base,tesera-detail-bgg-id,,matched,
59,636272,grand-austria-hotel,Гранд-отель «Австрия»,Grand Austria Hotel,2015,false,182874,Grand Austria Hotel,base,tesera-detail-bgg-id,,matched,
60,1747603,grand-austria-hotel-lets-waltz,Гранд-отель «Австрия». Станцуем вальс!,Grand Austria Hotel: Let’s Waltz!,2021,true,320780,Grand Austria Hotel: Let's Waltz!,expansion,tesera-detail-bgg-id,182874,matched,
61,2099479,splendor-duel,Роскошь. Дуэль,Splendor Duel,2022,false,364073,Splendor Duel,base,tesera-detail-bgg-id,,matched,
62,37349,Potion-Making-Gift-Pack,Зельеварение. Подарочное издание,,,true,34169,Potion-Making: Practice,base,tesera-detail-bgg-id,,matched,
63,1714454,endless-winter-paleoamericans,Вечная зима: Палеоиндейцы,Endless Winter: Paleoamericans,2021,false,305096,Endless Winter: Paleoamericans,base,tesera-detail-bgg-id,,matched,
64,1945436,EndlessWinterAncestors,Вечная Зима: Зов предков,Endless Winter: Ancestors,2021,true,,,,unresolved,,needs-review,
65,1953461,vechnaya-zima-reki-i-lodki,Вечная Зима: Реки и лодки,Endless Winter: Rivers & Rafts,2021,true,,,,unresolved,,needs-review,
66,1953463,vechnaya-zima-naskalnyye-risunki,Вечная зима: Наскальные рисунки,Endless Winter: Cave Paintings,2021,true,,,,unresolved,,needs-review,
67,1953467,vechnaya-zima-vernyye-druzya,Вечная зима: Верные друзья,Endless Winter: Canine Familiars | Endless Winter: Canine Familiars,2021,true,,,,unresolved,,needs-review,
68,1953486,vechnaya-zima-severnoye-siyaniye,Вечная зима: Северное Cияние,Endless Winter: Aurora Borealise,2021,true,,,,unresolved,,needs-review,
69,1953488,vechnaya-zima-svyashchennyye-zemli,Вечная зима: Священные Земли,Endless Winter: Ceremonial Grounds,2021,true,,,,unresolved,,needs-review,
70,2292007,vechnaya-zima-mamont,Вечная Зима: Мамонт,Endless Winter: Mammoth Module,2021,true,372347,Endless Winter: Mammoth Module,expansion,tesera-detail-bgg-id,305096,matched,
71,2257953,sea-salt-paper-extra-salt,"Море, соль, бумага. Больше соли",Sea Salt & Paper: Extra Salt,2023,true,396545,Sea Salt & Paper: Extra Salt,expansion,tesera-detail-bgg-id,367220,matched,
72,1865215,tortuga2199Expansion,Тортуга 2199. Бухта разбитых кораблей,,2021,true,,,,unresolved,,needs-review,
73,1338734,tortuga2199,Тортуга 2199,Tortuga 2199,2019,false,265017,Tortuga 2199,base,tesera-detail-bgg-id,,matched,
74,1660885,pax-renaissance-second-edition,Pax Renaissance. Русское издание,Pax Renaissance: 2nd edition,2021,false,308119,Pax Renaissance: 2nd Edition,base,tesera-detail-bgg-id,,matched,
75,2273606,bitvy-geroyev-stranstviya,Битвы героев. Странствия,Hero Realms: Journeys,2023,false,400622,Битвы героев: Странствия (Hero Realms: Journeys),expansion,tesera-detail-bgg-id,198994,matched,
76,159005,Terra-Mystica,Терра мистика,Terra Mystica | Земли дивные,2012,false,120677,Terra Mystica,base,tesera-detail-bgg-id,,matched,
77,1831949,tinyepicdungeons,Tiny Epic Dungeons,,2021,false,331787,Tiny Epic Dungeons,base,tesera-detail-bgg-id,,matched,
78,1540710,Tiny-Epic-Dinosaurs,Tiny Epic Dinosaurs,,2020,false,291508,Tiny Epic Dinosaurs,base,tesera-detail-bgg-id,,matched,
79,1807140,terraforming-mars-ares-expedition,Покорение Марса. Экспедиция «Арес»,Terraforming Mars: Ares Expedition,2021,false,328871,Terraforming Mars: Ares Expedition,base,tesera-detail-bgg-id,,matched,
80,2045312,terraforming-mars-ares-expedition-foundations,Покорение Марса. Экспедиция «Арес». Основание,Terraforming Mars: Ares Expedition - Foundations,2022,true,358740,Terraforming Mars: Ares Expedition – Foundations,expansion,tesera-detail-bgg-id,328871,matched,
81,2045310,terraforming-mars-ares-expedition-discovery,Покорение Марса. Экспедиция «Арес». Первооткрыватели,Terraforming Mars: Ares Expedition - Discovery,2022,true,358739,Terraforming Mars: Ares Expedition – Discovery,expansion,tesera-detail-bgg-id,328871,matched,
82,1704479,7-wonders-duel-agora,7 чудес: Дуэль - Агора,7 Wonders Duel: Agora,2020,true,309116,7 Wonders Duel: Agora,expansion,tesera-detail-bgg-id,173346,matched,
83,797615,7-wonders-duel-pantheon,7 чудес: Дуэль - Пантеон,7 Wonders Duel: Pantheon,2016,true,202976,7 Wonders Duel: Pantheon,expansion,tesera-detail-bgg-id,173346,matched,
84,1515440,epic-card-game-duels,Эпик. Дуэльный набор,"Epic Card Game: Duels | Эпик Дуэльный набор, Epic Duels",2021,true,287608,Epic Card Game: Duels,base,tesera-detail-bgg-id,,matched,
85,1754124,cross-clues,Ключевые слова,Cross Clues | Кодовые слова,2020,false,300753,Cross Clues,base,tesera-detail-bgg-id,,matched,
86,746582,aeons-end,Конец вечности,Aeon's End,2016,false,191189,Aeon's End,base,tesera-detail-bgg-id,,matched,
87,1033950,jackal-archipelago,Шакал: Архипелаг,Jackal Archipelago,2017,false,205039,Jackal Archipelago,base,tesera-detail-bgg-id,,matched,
88,106928,Smash-Up,Замес,Smash Up | Разгром,2012,false,122522,Smash Up,base,tesera-detail-bgg-id,,matched,
89,2186009,similo-harry-potter,Similo: Harry Potter,,,false,,,,unresolved,,needs-review,
90,2185736,similo-wild-animals,Similo: Зоопарк,Similo: Wild Animals,2019,false,,,,unresolved,,needs-review,
91,2175473,similo-history,Similo: История,Similo: History,,true,,,,unresolved,,needs-review,
92,2158306,similo-animals,Similo: Животные,Similo: Animals,2022,false,268620,Similo,base,tesera-detail-bgg-id,,matched-canonical-duplicate,Canonical Similo item is uploaded once for all owned decks.
93,1929546,Carcassonne20th,Каркассон: Юбилейное издание,Carcassonne: 20th Anniversary Edition | Каркассон: издание к 20-летию,2021,true,329954,Carcassonne: 20th Anniversary Edition,base,tesera-detail-bgg-id,,matched,
94,280940,munchkin-legends,Munchkin Legends,Легендарный Манчкин,2013,false,144325,Munchkin Legends,base,tesera-detail-bgg-id,,matched,
95,336962,ekivoki,Экивоки,,2013,true,297864,Экивоки,base,tesera-detail-bgg-id,,matched,
96,1031351,sentient,Синдикат,Sentient,2017,false,223855,Sentient,base,tesera-detail-bgg-id,,matched,
97,442670,cash-and-guns-second-edition,Cash 'N Guns 2nd Edition,Ca$h 'N Guns 2nd Edition,2014,true,155362,Ca$h 'n Guns: Second Edition,base,tesera-detail-bgg-id,,matched,
98,800084,cash-n-guns-team-spirit,Ca$h 'N Gun$: Team Spirit,Cash 'N Guns: Team Spirit,2016,false,199240,Ca$h 'n Guns (Second Edition): Team Spirit,expansion,tesera-detail-bgg-id,155362,matched,
99,1741848,cascadia,Каскадия,Cascadia,2021,false,295947,Cascadia,base,tesera-detail-bgg-id,,matched,
100,2156641,sea-salt-paper,"Море, соль, бумага",Sea Salt & Paper,2022,false,367220,Sea Salt & Paper,base,tesera-detail-bgg-id,,matched,
101,2198339,family-Inc,Hit!,Family Inc. | Хит!,2021,false,325382,Family Inc.,base,tesera-detail-bgg-id,,matched,
102,1601984,1paris,Париж,Paris,2020,false,282954,Paris,base,tesera-detail-bgg-id,,matched,
103,1610089,santa-monica,Санта-Моника,Santa Monica,2020,false,298065,Santa Monica,base,tesera-detail-bgg-id,,matched,
104,7690,castle-for-all-seasons,Замок на все времена,"A Castle for All Seasons | A l'ombre des murailles, Il Castello, Im Schutze der Burg, De Koningsburcht, 四季城",2008,false,38386,A Castle for All Seasons,base,tesera-detail-bgg-id,,matched,
105,1289604,Call-to-Adventure,Дорога приключений,Call to Adventure,2018,false,238992,Call to Adventure,base,tesera-detail-bgg-id,,matched,
106,1543737,fossilis,Раскопки,Fossilis,2020,false,280032,Fossilis,base,tesera-detail-bgg-id,,matched,
107,1282470,fallout-new-california,Fallout: Новая Калифорния,Fallout: New California,2018,true,256481,Fallout: New California,expansion,tesera-detail-bgg-id,232918,matched,
108,1901436,imperium-classics,Империи: Классика,Imperium: Classics,2021,false,318184,Imperium: Classics,base,tesera-detail-bgg-id,,matched,
109,1910689,Imperium-Legends,Империи: Легенды,Imperium: Legends,2021,false,318182,Imperium: Legends,base,tesera-detail-bgg-id,,matched,
110,1891709,night-of-the-ninja,Ночь Ниндзя,Night of the Ninja,2021,false,306321,Night of the Ninja,base,tesera-detail-bgg-id,,matched,
111,517466,Badlands,Badlands: Outpost of Humanity,Badlands. Аванпост человечества,2017,false,174231,Badlands: Outpost of Humanity,base,tesera-detail-bgg-id,,matched,
112,978774,maximum-apocalypse,Максимум Апокалипсис,Maximum Apocalypse,2018,false,188547,Maximum Apocalypse,base,tesera-detail-bgg-id,,matched,
113,1545178,maximum-apocalypse-gothic-horrors,Максимум Апокалипсис: Готические ужасы,Maximum Apocalypse: Gothic Horrors,2019,true,244841,Maximum Apocalypse: Gothic Horrors,expansion,tesera-detail-bgg-id,188547,matched,
114,1445381,maximum-apocalypse-jurassic-perils,Максимум Апокалипсис: Юрский период,Maximum Apocalypse: Jurassic Perils,2019,true,249137,Maximum Apocalypse: Jurassic Perils,expansion,tesera-detail-bgg-id,188547,matched,
115,1456057,maximum-apocalypse-bugpocalypse,Максимум Апокалипсис: Жукогеддон,Maximum Apocalypse: The Bugpocalypse,2020,true,311222,Maximum Apocalypse: Bugpocalypse,expansion,tesera-detail-bgg-id,188547,matched,
116,2056586,maximum-apocalypse-kaiju-rising,Максимум Апокалипсис: Кайдзю атакуют!,Maximum Apocalypse: Kaiju Rising,2018,true,244838,Maximum Apocalypse: Kaiju Rising,expansion,tesera-detail-bgg-id,188547,matched,
117,2056847,maksimum-apokalipsis-sudny-den,Максимум Апокалипсис: Судный день,,,false,,,,unresolved,,needs-review,
118,241767,panic-on-wall-street,Panic on Wall Street!,Masters of Commerce,2011,false,104581,Panic on Wall Street!,base,tesera-detail-bgg-id,,matched,
119,2006512,golubyatnya,Голубятня,,,false,,,,unresolved,,needs-review,
120,733719,bitvy-geroyev,Битвы героев,Hero Realms,2016,true,198994,Hero Realms,base,tesera-detail-bgg-id,,matched,
121,1167029,diamant-2016-iello-edition,Диамант,Diamant | Incan Gold (2016 iello edition),2016,false,15512,Diamant,base,tesera-detail-bgg-id,,matched,
122,1251820,black-rose-wars,Войны Чёрной Розы,Black Rose Wars,2018,false,239942,Black Rose Wars,base,tesera-detail-bgg-id,,matched,
123,987389,caverna-cave-vs-cave,Каверна. Пещера на пещеру,Caverna: Cave vs Cave,2017,false,220520,Caverna: Cave vs Cave,base,tesera-detail-bgg-id,,matched,
124,2059891,galaxy-trucker-keep-on-trucking,Космические дальнобойщики: полёт продолжается,Galaxy Trucker: Keep on Trucking,2022,true,360232,Galaxy Trucker: Keep on Trucking,expansion,tesera-detail-bgg-id,336794,matched,
125,1532665,za-bortom-2-izdaniye,За бортом. 2-е издание,Lifeboat,2019,false,477191,Cascadia: Alpine Lakes Pristine Peaks Kickstarter Mini-Expansion,expansion,tesera-detail-bgg-id,,excluded-orphan-expansion,No officially linked owned base game in the BGG collection. No officially linked owned base game in the BGG collection.
126,1691284,za-bortom-dopolneniye-vtoroye-izdaniye,За бортом. Дополнение. Второе издание,,,true,,,,unresolved,,needs-review,
127,2051845,furnace-interbellum,Индустрия. Интербеллум,Furnace: Interbellum,2022,true,363077,Furnace: Interbellum,expansion,tesera-detail-bgg-id,318084,matched,
128,608119,concordia-salsa,Конкордия. Сальса,Concordia: Salsa,2015,true,181084,Concordia: Salsa,expansion,tesera-detail-bgg-id,124361,matched,
129,322235,concordia,Конкордия,Concordia,2013,false,124361,Concordia,base,tesera-detail-bgg-id,,matched,
130,1891772,1galaxy-trucker,Космические дальнобойщики (новое издание),Galaxy Trucker,2021,false,336794,Galaxy Trucker (Second Edition),base,tesera-detail-bgg-id,,matched,
131,1789289,cafe,Кофе,Café,2020,false,284936,Café,base,tesera-detail-bgg-id,,matched,
132,6232,High-Society,Высшее общество,High Society,1995,false,220,High Society,base,tesera-detail-bgg-id,,matched,
133,2052148,bolshaya-brodilka-yeshche-bolshe-priklyucheny,Большая Бродилка: Ещё Больше Приключений,,2022,true,,,,unresolved,,needs-review,
134,1907411,dune-imperium-rise-ix,Дюна: Империя - Расцвет Иксианцев,Dune: Imperium - Rise of Ix,2021,true,342031,Dune: Imperium – Rise of Ix,expansion,tesera-detail-bgg-id,316554,matched,
135,1742724,dune-imperium,Дюна: Империя,Dune: Imperium,2020,false,316554,Dune: Imperium,base,tesera-detail-bgg-id,,matched,
136,1621035,Cubitos,Кубитос,Cubitos,2021,false,298069,Cubitos,base,tesera-detail-bgg-id,,matched,
137,1923665,port-royal-big-box,Порт Ройал: Полное издание,Port Royal: Big Box,2021,false,331265,Port Royal: Big Box,base,tesera-detail-bgg-id,,matched,
138,1583397,La-Cour-des-Miracles,Двор чудес,"La Cour des Miracles, The Court of Miracles",2019,false,270956,The Court of Miracles,base,tesera-detail-bgg-id,,matched,
139,1815108,shchelchok-sudby,Щелчок судьбы,Flick of Faith,2019,false,281194,Flick of Faith,base,tesera-detail-bgg-id,,matched,
140,1890707,winter-queen-mini-expansion-set,Зимняя королева. Набор дополнений,Winter Queen: Mini-expansion set,2021,true,,,,unresolved,,needs-review,
141,688619,blood-rage-5th-player-expansion,Кровь и ярость. Пятый игрок,Blood Rage: 5th Player Expansion,2015,true,174506,Blood Rage: 5th Player Expansion,expansion,tesera-detail-bgg-id,170216,matched,
142,417984,5tribes,Пять племён,Five Tribes,2014,false,157354,Five Tribes: The Djinns of Naqala,base,tesera-detail-bgg-id,,matched,
143,386939,castles-of-mad-king-ludwig,Замки безумного короля Людвига,Castles of Mad King Ludwig,2014,true,155426,Castles of Mad King Ludwig,base,tesera-detail-bgg-id,,matched,
144,805602,exploding-kittens-imploding-kittens,Взрывные котята: Разрывные котята,Exploding Kittens: Imploding Kittens,2016,true,204053,Exploding Kittens: Imploding Kittens,expansion,tesera-detail-bgg-id,172225,matched,
145,1817813,draftosaurus-marina,Драфтозавры: Водные,Draftosaurus: Marina,2020,true,320777,Draftosaurus: Marina,expansion,tesera-detail-bgg-id,264055,matched,
146,1817812,draftosaurus-aerial-show,Драфтозавры: Летающие,Draftosaurus: Aerial Show,2020,true,320778,Draftosaurus: Aerial Show,expansion,tesera-detail-bgg-id,264055,matched,
147,361565,la-cosa-nostra,Коза Ностра,La Cosa Nostra,2014,false,151771,La Cosa Nostra,base,tesera-detail-bgg-id,,matched,
148,1903649,lost-ruins-arnak-expedition-leaders,Руины острова Арнак: Лидеры экспедиции,Lost Ruins of Arnak: Expedition Leaders,2021,true,341254,Lost Ruins of Arnak: Expedition Leaders,expansion,tesera-detail-bgg-id,312484,matched,
149,1383214,Die-Tavernen-im-Tiefen-Thal,Таверны Тифенталя,The Taverns of Tiefenthal | Die Tavernen im Tiefen Thal,2019,false,269207,The Taverns of Tiefenthal,base,tesera-detail-bgg-id,,matched,
150,860336,not-alone,Чужая планета,Not Alone,2016,false,194879,Not Alone,base,tesera-detail-bgg-id,,matched,
151,1046209,Exploration,Чужая планета. Новые горизонты,Not Alone: Exploration,2017,true,222738,Not Alone: Exploration,expansion,tesera-detail-bgg-id,194879,matched,
152,1704843,not-alone-sanctuary,Чужая планета. Убежище,Not Alone: Sanctuary,2020,true,222739,Not Alone: Sanctuary,expansion,tesera-detail-bgg-id,194879,matched,
153,501828,tinyepicgalaxies,Крошечные Эпические Галактики,Tiny Epic Galaxies,2015,false,163967,Tiny Epic Galaxies,base,tesera-detail-bgg-id,,matched,
154,363641,tiny-epic-kingdoms,Крошечные Эпические Королевства,Tiny Epic Kingdoms,2014,false,148951,Tiny Epic Kingdoms,base,tesera-detail-bgg-id,,matched,
155,1265875,black-sonata,Чёрная соната,Black Sonata,2017,false,231218,Black Sonata,base,tesera-detail-bgg-id,,matched,
156,1969265,similo-myths,Similo: Мифы,Similo: Myths,2022,false,268620,Similo,base,manual-bgg-review,,matched-canonical-upload,Invalid Tesera value 5179628 corrected to canonical Similo BGG item.
157,1623429,fallout-atomic-bonds,Fallout: Атомные узы,Fallout: Atomic Bonds,2020,true,,,,unresolved,,needs-review,
158,276440,Bang-The-Dice-Game,Бэнг! За пригоршню кубиков,Bang! The Dice Game,2013,false,143741,BANG! The Dice Game,base,tesera-detail-bgg-id,,matched,
159,413707,Machi-Koro-Sharp,Мачи Коро Шарп,Machi Koro Sharp,2014,true,160154,Machi Koro: Millionaire's Row,expansion,tesera-detail-bgg-id,143884,matched,
160,328575,machi-koro,Мачи Коро,"Machi Koro | 街コロ, METROPOLIA, Minivilles",2012,false,143884,Machi Koro,base,tesera-detail-bgg-id,,matched,
161,1760369,paleo,Палео,Paleo,2020,false,300531,Paleo,base,tesera-detail-bgg-id,,matched,
162,1910902,paleo-ein-neuer-anfang,Палео: Новое начало,"Paleo: Ein Neuer Anfang, Paleo: A New Beginning",2021,true,342501,Paleo: A New Beginning,expansion,tesera-detail-bgg-id,300531,matched,
163,1863132,paleo-der-initiationsritus,Палео: Обряд посвящения,"Paleo: Der Initiationsritus, Paleo: Rites d'initiation",2021,true,334338,Paleo: The Initiation Rite,expansion,tesera-detail-bgg-id,300531,matched,
164,1832341,paleo-uzhasnye-pticy,Палео: Ужасные птицы,"Paleo: Die Terrorvögel, Paleo: Les oiseaux-terreur, Paleo: Las aves del terror",2020,true,323392,Paleo: The Terror Birds,expansion,tesera-detail-bgg-id,300531,matched,
165,1957907,liga-detektivov,Лига детективов,Dubious,2021,false,,,,unresolved,,needs-review,
166,1483888,neptun-i-vesta,Нептун и Веста,Cthulhu Rising,2008,false,37349,Cthulhu Rising,base,tesera-detail-bgg-id,,matched,
167,1786301,ultimatum-sindikata,Ультиматум Синдиката,,2021,false,353209,Ультиматум Синдиката,base,tesera-detail-bgg-id,,matched,
168,416,pandemic,Пандемия,Pandemic,2008,false,30549,Pandemic,base,tesera-detail-bgg-id,,matched,
169,6441,Biblios,Аббатство,Biblios | Scripts and Scribes,2007,false,34219,Biblios,base,tesera-detail-bgg-id,,matched,
170,1742973,cerberus-treasures-of-the-underworld,Цербер. Сокровища преисподней,Cerberus: Treasures of the Underworld,2020,true,319324,Cerberus: Treasures of the Underworld,expansion,tesera-detail-bgg-id,256918,matched,
171,1892869,shiftingstones,Тайные камни,Shifting Stones,2020,false,302280,Shifting Stones,base,tesera-detail-bgg-id,,matched,
172,1334235,just-one,Намёк понял,Just One,2018,false,254640,Just One,base,tesera-detail-bgg-id,,matched,
173,2025110,similo-skazki,Similo: Сказки,Similo: Fables,2021,false,,,,unresolved,,needs-review,
174,1946898,similo-strashilki,Similo: Страшилки,Similo: Spookies,2021,false,268620,Similo,base,tesera-detail-bgg-id,,matched-canonical-duplicate,Canonical Similo item is uploaded once for all owned decks.
